Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,38.849998,46.080002,38.400002,44.200001,40.131207,63347400
2009-02-01,43.560001,46.490002,40.160000,41.020000,37.243938,67228900
2009-03-01,40.450001,41.990002,33.389999,35.040001,31.902021,92567600
2009-04-01,34.240002,38.590000,33.130001,37.000000,33.686485,69970200
2009-05-01,37.250000,41.570000,36.790001,41.150002,37.464855,75860100
2009-06-01,41.419998,45.270000,39.709999,44.000000,40.059624,65133400
2009-07-01,44.110001,52.169998,42.610001,51.150002,46.703964,59173600
2009-08-01,51.400002,57.380001,50.799999,56.860001,51.917641,52298900
2009-09-01,56.630001,59.950001,54.599998,59.549999,54.488556,44006800
2009-10-01,59.610001,62.340000,55.820000,58.730000,53.738262,56164900
2009-11-01,59.020000,64.980003,58.740002,62.020000,56.748615,36471100
2009-12-01,62.110001,64.500000,60.209999,62.500000,57.295982,40592800
2010-01-01,62.990002,63.639999,58.299999,58.820000,53.922401,53551400
2010-02-01,58.990002,60.840000,57.230000,59.150002,54.224918,40293400
2010-03-01,59.360001,66.980003,59.360001,65.720001,60.370090,48953800
2010-04-01,65.900002,68.190002,63.770000,64.809998,59.534184,43519900
2010-05-01,64.860001,71.110001,62.939999,70.000000,64.301689,72798600
2010-06-01,69.660004,71.489998,66.959999,67.160004,61.692875,53306700
2010-07-01,67.000000,69.480003,59.630001,62.820000,57.857204,68530700
2010-08-01,63.230000,63.639999,57.810001,58.049999,53.464035,56226200
2010-09-01,58.669998,63.639999,58.080002,61.779999,57.069561,57696900
2010-10-01,62.090000,66.080002,59.540001,65.980003,60.949333,48872700
2010-11-01,66.000000,68.279999,63.320000,63.900002,59.027916,46216100
2010-12-01,64.559998,71.089996,64.379997,70.379997,65.195778,36314500
2011-01-01,70.529999,75.489998,70.440002,75.169998,69.632927,46260100
2011-02-01,76.400002,81.000000,75.040001,79.279999,73.440178,40143800
2011-03-01,79.470001,80.940002,75.070000,79.050003,73.396042,43701200
2011-04-01,79.300003,84.680000,77.550003,83.010002,77.072815,34879000
2011-05-01,83.010002,87.320000,80.750000,85.610001,79.486847,42581900
2011-06-01,85.639999,85.889999,80.970001,83.650002,77.667030,46566900
2011-07-01,83.790001,84.959999,79.389999,81.120003,75.497002,43791800
2011-08-01,81.379997,81.559998,70.860001,79.930000,74.389481,65761800
2011-09-01,79.709999,81.500000,72.250000,72.699997,67.834297,44261500
2011-10-01,72.669998,85.699997,66.610001,81.550003,76.091988,45102400
2011-11-01,79.830002,83.639999,76.309998,81.309998,75.868042,33785900
2011-12-01,81.459999,82.260002,76.360001,77.910004,72.881905,25412900
2012-01-01,79.040001,83.290001,74.889999,81.720001,76.446014,43954200
2012-02-01,82.010002,83.900002,80.419998,83.510002,78.120506,34203100
2012-03-01,83.489998,88.910004,81.529999,87.769997,82.306061,41861200
2012-04-01,87.650002,92.690002,86.639999,91.410004,85.719444,41901400
2012-05-01,88.739998,91.260002,85.949997,87.279999,81.846535,42948300
2012-06-01,86.220001,94.470001,86.220001,93.750000,87.913765,33033800
2012-07-01,94.000000,97.230003,90.080002,90.730003,85.276512,28011100
2012-08-01,90.879997,90.989998,86.050003,87.110001,81.874107,35688200
2012-09-01,87.239998,89.839996,84.650002,86.029999,81.043381,32073300
2012-10-01,86.220001,94.510002,85.570000,93.309998,87.901413,31889700
2012-11-01,93.470001,96.080002,90.599998,94.470001,88.994209,26495000
2012-12-01,94.500000,100.000000,92.860001,96.959999,91.536789,23103000
2013-01-01,97.949997,106.900002,96.669998,105.230003,99.344246,24322900
2013-02-01,103.480003,107.029999,101.459999,106.129997,100.193878,34062200
2013-03-01,106.019997,111.550003,104.519997,107.959999,102.117752,30972300
2013-04-01,107.769997,109.669998,102.680000,105.820000,100.093567,24119400
2013-05-01,105.809998,119.320000,105.190002,113.860001,107.698494,27429300
2013-06-01,114.279999,117.209999,109.820000,114.500000,108.303848,26044800
2013-07-01,115.769997,126.360001,113.260002,122.660004,116.229256,21303000
2013-08-01,123.260002,124.650002,120.169998,121.410004,115.044800,18460100
2013-09-01,122.769997,133.330002,121.379997,128.300003,121.814781,21287000
2013-10-01,128.970001,158.380005,128.839996,156.339996,148.437363,51546100
2013-11-01,156.289993,166.570007,154.020004,165.889999,157.504700,27812300
2013-12-01,165.889999,166.250000,156.000000,161.399994,153.465775,26988900
2014-01-01,160.850006,177.500000,159.449997,174.410004,165.836258,56529000
2014-02-01,174.690002,179.399994,167.020004,177.050003,168.346420,29591300
2014-03-01,175.339996,188.020004,171.589996,176.570007,168.120911,26623200
2014-04-01,177.259995,178.210007,162.899994,169.190002,161.094086,28929400
2014-05-01,166.970001,189.740005,164.580002,189.639999,180.565491,32695500
