Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,193.759995,202.410004,188.619995,191.529999,191.529999,85907800
2018-06-01,192.899994,196.740005,184.750000,186.649994,186.649994,94740600
2018-07-01,186.089996,201.399994,185.720001,197.869995,197.869995,79797600
2018-08-01,198.800003,211.320007,196.770004,208.720001,208.720001,85478300
2018-09-01,209.210007,223.000000,208.039993,214.110001,214.110001,81811900
2018-10-01,215.919998,224.070007,197.289993,205.279999,205.279999,111553000
2018-11-01,205.600006,223.520004,203.389999,218.240005,218.240005,92111300
2018-12-01,221.979996,223.589996,186.100006,204.179993,204.179993,123643400
2019-01-01,201.729996,208.009995,191.039993,205.539993,205.539993,99687600
2019-02-01,206.520004,209.399994,198.210007,201.300003,201.300003,80023200
2019-03-01,203.149994,207.750000,197.029999,200.889999,200.889999,89064500
2019-04-01,202.160004,217.320007,202.000000,216.710007,216.710007,64254100
2019-05-01,217.220001,219.160004,197.080002,197.419998,197.419998,88800700
2019-06-01,197.619995,213.330002,196.889999,213.169998,213.169998,72121400
2019-07-01,214.250000,216.580002,204.360001,205.429993,205.429993,69209000
2019-08-01,205.630005,206.979996,195.399994,203.410004,203.410004,96629400
2019-09-01,201.190002,214.580002,200.190002,208.020004,208.020004,78363900
2019-10-01,208.940002,213.710007,201.330002,212.580002,212.580002,78088100
2019-11-01,213.550003,223.369995,213.399994,220.300003,220.300003,72096700
2019-12-01,220.600006,228.229996,216.399994,226.500000,226.500000,79910300
