Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,28.809999,30.469999,24.160000,26.879999,21.810640,305805200
2009-02-01,26.559999,29.610001,25.520000,25.740000,20.946625,212588500
2009-03-01,25.559999,29.740000,23.740000,27.490000,22.370726,258801300
2009-04-01,27.250000,31.889999,27.080000,31.780001,25.861839,218561400
2009-05-01,31.830000,34.220001,28.959999,29.799999,24.312065,245974200
2009-06-01,29.850000,32.450001,29.700001,31.870001,26.000849,220418500
2009-07-01,31.940001,34.590000,30.580000,33.480000,27.314352,211718400
2009-08-01,33.790001,37.590000,33.029999,37.520000,30.681387,207829100
2009-09-01,37.430000,37.750000,34.450001,35.740002,29.225811,236538700
2009-10-01,35.610001,38.270000,33.919998,35.299999,28.866014,229205400
2009-11-01,35.549999,36.660000,27.379999,31.010000,25.408964,563042000
2009-12-01,31.190001,32.799999,30.370001,32.209999,26.392227,283422800
2010-01-01,32.430000,34.410000,32.240002,32.369999,26.523327,222382000
2010-02-01,32.570000,34.529999,30.360001,33.750000,27.725521,236824900
2010-03-01,33.869999,37.320000,33.790001,36.560001,30.033943,220040700
2010-04-01,36.119999,37.820000,35.540001,36.919998,30.329676,216526900
2010-05-01,36.990002,37.430000,33.060001,34.630001,28.515516,237501700
2010-06-01,34.400002,35.310001,29.219999,29.320000,24.143078,369659000
2010-07-01,29.190001,32.090000,28.299999,30.690001,25.271189,241586700
2010-08-01,31.020000,31.250000,26.840000,26.980000,22.280891,199666100
2010-09-01,26.860001,31.750000,26.860001,31.469999,25.988867,155904500
2010-10-01,31.670000,32.500000,30.120001,30.129999,24.882254,200383900
2010-11-01,30.299999,31.690001,29.450001,31.000000,25.674263,216699200
2010-12-01,31.440001,35.459999,31.400000,34.770000,28.796581,175725700
2011-01-01,34.939999,35.950001,33.619999,34.200001,28.324509,180046400
2011-02-01,34.189999,35.299999,32.080002,33.060001,27.478102,270624800
2011-03-01,33.209999,34.320000,32.500000,34.320000,28.525351,220654500
2011-04-01,34.250000,36.910000,34.209999,36.220001,30.104570,168002400
2011-05-01,36.410000,39.500000,35.730000,38.689999,32.270927,183995600
2011-06-01,38.639999,38.990002,36.110001,37.580002,31.345091,182263500
2011-07-01,37.650002,38.820000,35.970001,36.349998,30.319166,154598400
2011-08-01,36.779999,37.160000,31.299999,35.910000,30.053370,271598700
2011-09-01,35.849998,37.459999,33.439999,33.590000,28.111740,244722500
2011-10-01,33.509998,37.500000,32.279999,36.330002,30.404863,220514000
2011-11-01,35.419998,39.400002,35.090000,38.840000,32.621513,224388900
2011-12-01,38.660000,41.349998,36.439999,40.779999,34.250912,203641700
2012-01-01,41.299999,43.169998,41.009998,41.750000,35.065609,146221600
2012-02-01,41.980000,45.360001,41.930000,45.099998,38.022614,160913700
2012-03-01,45.070000,45.880001,43.930000,44.799999,37.769680,139270800
2012-04-01,44.200001,45.240002,43.080002,44.619999,37.617935,155355800
2012-05-01,44.599998,46.220001,44.340000,44.939999,38.029472,184180100
2012-06-01,45.400002,46.930000,43.299999,46.730000,39.544209,145279000
2012-07-01,46.889999,48.689999,44.340000,45.250000,38.291794,180839500
2012-08-01,45.549999,46.000000,43.650002,45.549999,38.674938,165211100
2012-09-01,45.500000,48.459999,45.430000,48.419998,41.111767,108483600
2012-10-01,48.509998,49.230000,45.590000,46.400002,39.396656,123727000
2012-11-01,46.470001,47.779999,44.330002,46.509998,39.628094,151124300
2012-12-01,46.529999,49.799999,45.810001,48.349998,41.195827,130142000
2013-01-01,49.020000,52.730000,49.000000,51.200001,43.624126,126710000
2013-02-01,51.630001,52.770000,50.209999,51.119999,43.744839,105734300
