Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,55.980000,57.509998,46.919998,47.119999,35.825867,518547200
2009-02-01,46.570000,50.669998,46.250000,49.240002,37.437733,509033200
2009-03-01,48.810001,53.000000,47.000000,52.099998,39.612209,545295500
2009-04-01,51.380001,54.570000,47.639999,50.400002,38.535446,450522100
2009-05-01,50.500000,51.380001,48.119999,49.740002,38.030823,377048900
2009-06-01,50.180000,51.750000,48.020000,48.439999,37.236191,417698500
2009-07-01,48.549999,50.430000,47.349998,49.880001,38.343143,369068900
2009-08-01,50.220001,52.560001,48.750000,50.869999,39.104141,344252000
2009-09-01,50.810001,52.099998,48.730000,49.090000,37.942474,375673300
2009-10-01,49.070000,52.000000,48.730000,49.680000,38.398502,374017800
2009-11-01,49.810001,55.090000,49.520000,54.549999,42.162613,306009700
2009-12-01,54.849998,55.080002,52.310001,53.450001,41.312393,264681300
2010-01-01,53.740002,55.200001,52.509998,53.430000,41.504814,291591500
2010-02-01,53.619999,54.500000,52.660000,54.070000,42.001961,278505000
2010-03-01,54.040001,56.270000,53.150002,55.599998,43.190491,270764400
2010-04-01,55.750000,55.900002,53.520000,53.639999,41.902409,282951100
2010-05-01,53.880001,54.950001,50.000000,50.560001,39.496372,398119000
2010-06-01,50.799999,52.080002,48.009998,48.070000,37.769035,390548500
2010-07-01,48.099998,51.810001,47.770000,51.189999,40.220440,280340800
2010-08-01,51.549999,52.480000,50.000000,50.139999,39.395447,272559100
2010-09-01,50.490002,54.389999,50.459999,53.520000,42.296150,216284000
2010-10-01,53.599998,54.820000,52.930000,54.169998,42.809834,208445100
2010-11-01,54.049999,55.720001,53.430000,54.090000,42.746613,241802400
2010-12-01,54.419998,55.340000,53.139999,53.930000,42.620167,246182100
2011-01-01,54.230000,57.900002,53.540001,56.070000,44.556042,260656500
2011-02-01,56.369999,56.730000,51.520000,51.980000,41.305927,276839200
2011-03-01,52.160000,53.880001,50.970001,52.049999,41.361538,279247300
2011-04-01,52.250000,55.160000,51.919998,54.980000,43.996094,177992800
2011-05-01,55.080002,56.470001,54.189999,55.220001,44.188156,195699000
2011-06-01,54.980000,55.169998,51.790001,53.139999,42.805054,282564700
2011-07-01,53.189999,54.810001,52.669998,52.709999,42.458683,198103900
2011-08-01,52.790001,53.490002,48.310001,53.189999,42.845329,424527100
2011-09-01,53.200001,53.549999,49.939999,51.900002,42.108654,275866100
2011-10-01,51.880001,57.959999,51.630001,56.720001,46.019321,268820500
2011-11-01,55.820000,59.400002,55.680000,58.900002,47.788044,222113300
2011-12-01,58.639999,60.000000,57.419998,59.759998,48.485790,193606900
2012-01-01,59.970001,62.000000,58.369999,61.360001,50.095016,163577000
2012-02-01,61.790001,62.630001,58.209999,59.080002,48.233601,199314500
2012-03-01,59.360001,61.500000,58.639999,61.200001,49.964386,185822200
2012-04-01,61.080002,62.490002,57.180000,58.910000,48.416317,251787900
2012-05-01,58.950001,66.660004,58.270000,65.820000,54.095436,247098000
